,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,16,amg2023,intel,fom_overall,479566100.0,0
1,google/gke/cpu,google,gke,cpu,16,amg2023,intel,duration,150.02887225151062,0
2,google/gke/cpu,google,gke,cpu,16,amg2023,intel,fom_overall,480194700.0,0
3,google/gke/cpu,google,gke,cpu,16,amg2023,intel,duration,149.20562863349915,0
4,google/gke/cpu,google,gke,cpu,16,amg2023,intel,fom_overall,483265400.0,0
5,google/gke/cpu,google,gke,cpu,16,amg2023,intel,duration,148.83068323135376,0
6,google/gke/cpu,google,gke,cpu,16,amg2023,intel,fom_overall,483654700.0,0
7,google/gke/cpu,google,gke,cpu,16,amg2023,intel,duration,148.3491086959839,0
8,google/gke/cpu,google,gke,cpu,16,amg2023,intel,fom_overall,482457300.0,0
9,google/gke/cpu,google,gke,cpu,16,amg2023,intel,duration,148.45357942581177,0
10,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,fom_overall,480151700.0,0
11,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,duration,152.01309609413147,0
12,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,fom_overall,482046400.0,0
13,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,duration,150.1113781929016,0
14,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,fom_overall,482960600.0,0
15,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,duration,149.70200538635254,0
16,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,fom_overall,482267400.0,0
17,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,duration,150.08514404296875,0
18,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,fom_overall,481757800.0,0
19,google/gke/cpu,google,gke,cpu,16,amg2023,openmpi,duration,149.86131691932678,0
20,google/gke/cpu,google,gke,cpu,2,amg2023,openmpi,fom_overall,63159190.0,0
21,google/gke/cpu,google,gke,cpu,2,amg2023,openmpi,fom_overall,63236600.0,0
22,google/gke/cpu,google,gke,cpu,32,amg2023,intel,fom_overall,873366200.0,0
23,google/gke/cpu,google,gke,cpu,32,amg2023,intel,duration,168.76999402046204,0
24,google/gke/cpu,google,gke,cpu,32,amg2023,intel,fom_overall,879048800.0,0
25,google/gke/cpu,google,gke,cpu,32,amg2023,intel,duration,165.79934787750244,0
26,google/gke/cpu,google,gke,cpu,32,amg2023,intel,fom_overall,885228600.0,0
27,google/gke/cpu,google,gke,cpu,32,amg2023,intel,duration,163.910582780838,0
28,google/gke/cpu,google,gke,cpu,32,amg2023,intel,fom_overall,878304300.0,0
29,google/gke/cpu,google,gke,cpu,32,amg2023,intel,duration,165.0614676475525,0
30,google/gke/cpu,google,gke,cpu,32,amg2023,intel,fom_overall,874730300.0,0
31,google/gke/cpu,google,gke,cpu,32,amg2023,intel,duration,166.17630052566528,0
32,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,fom_overall,878921000.0,0
33,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,duration,166.38555097579956,0
34,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,fom_overall,875691900.0,0
35,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,duration,166.9042501449585,0
36,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,fom_overall,873602600.0,0
37,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,duration,167.73378896713257,0
38,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,fom_overall,876845100.0,0
39,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,duration,166.47650456428528,0
40,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,fom_overall,874013400.0,0
41,google/gke/cpu,google,gke,cpu,32,amg2023,openmpi,duration,167.56161046028137,0
42,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,150054300.0,0
43,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,119.58212518692017,0
44,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,150422500.0,0
45,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,118.81294631958008,0
46,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,151957000.0,0
47,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,117.66585993766785,0
48,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,150265300.0,0
49,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,119.45544004440308,0
50,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,151190900.0,0
51,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,118.32887387275696,0
52,google/gke/cpu,google,gke,cpu,4,amg2023,intel,fom_overall,149320300.0,0
53,google/gke/cpu,google,gke,cpu,4,amg2023,intel,duration,121.57392072677612,0
54,google/gke/cpu,google,gke,cpu,4,amg2023,openmpi,fom_overall,149912000.0,0
