,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,bdas,princomp,duration,19.25354504585266,0
1,google/gke/cpu,google,gke,cpu,64,bdas,princomp,minimum,0.205000,0
2,google/gke/cpu,google,gke,cpu,64,bdas,princomp,mean,0.480693,0
3,google/gke/cpu,google,gke,cpu,64,bdas,princomp,maximum,0.552000,0
4,google/gke/cpu,google,gke,cpu,64,bdas,princomp,duration,18.32892417907715,0
5,google/gke/cpu,google,gke,cpu,64,bdas,princomp,minimum,0.2040000,0
6,google/gke/cpu,google,gke,cpu,64,bdas,princomp,mean,0.3885694,0
7,google/gke/cpu,google,gke,cpu,64,bdas,princomp,maximum,0.4410000,0
8,google/gke/cpu,google,gke,cpu,64,bdas,princomp,duration,18.35989785194397,0
9,google/gke/cpu,google,gke,cpu,64,bdas,princomp,minimum,0.2080000,0
10,google/gke/cpu,google,gke,cpu,64,bdas,princomp,mean,0.3975946,0
11,google/gke/cpu,google,gke,cpu,64,bdas,princomp,maximum,0.4380000,0
12,google/gke/cpu,google,gke,cpu,64,bdas,princomp,duration,18.33730697631836,0
13,google/gke/cpu,google,gke,cpu,64,bdas,princomp,minimum,0.2070000,0
14,google/gke/cpu,google,gke,cpu,64,bdas,princomp,mean,0.4141003,0
15,google/gke/cpu,google,gke,cpu,64,bdas,princomp,maximum,0.4870000,0
16,google/gke/cpu,google,gke,cpu,64,bdas,princomp,duration,18.382724046707153,0
17,google/gke/cpu,google,gke,cpu,64,bdas,princomp,minimum,0.2110000,0
18,google/gke/cpu,google,gke,cpu,64,bdas,princomp,mean,0.4299668,0
19,google/gke/cpu,google,gke,cpu,64,bdas,princomp,maximum,0.5460000,0
20,google/gke/cpu,google,gke,cpu,64,bdas,svm,duration,19.10584044456482,0
21,google/gke/cpu,google,gke,cpu,64,bdas,svm,minimum,1.658000,0
22,google/gke/cpu,google,gke,cpu,64,bdas,svm,mean,1.671081,0
23,google/gke/cpu,google,gke,cpu,64,bdas,svm,maximum,1.676000,0
24,google/gke/cpu,google,gke,cpu,64,bdas,svm,duration,17.37917923927307,0
25,google/gke/cpu,google,gke,cpu,64,bdas,svm,minimum,0.688000,0
26,google/gke/cpu,google,gke,cpu,64,bdas,svm,mean,0.708813,0
27,google/gke/cpu,google,gke,cpu,64,bdas,svm,maximum,0.713000,0
28,google/gke/cpu,google,gke,cpu,64,bdas,svm,duration,17.636946201324463,0
29,google/gke/cpu,google,gke,cpu,64,bdas,svm,minimum,0.587000,0
30,google/gke/cpu,google,gke,cpu,64,bdas,svm,mean,0.600764,0
31,google/gke/cpu,google,gke,cpu,64,bdas,svm,maximum,0.604000,0
32,google/gke/cpu,google,gke,cpu,64,bdas,svm,duration,17.8296902179718,0
33,google/gke/cpu,google,gke,cpu,64,bdas,svm,minimum,1.072000,0
34,google/gke/cpu,google,gke,cpu,64,bdas,svm,mean,1.100685,0
35,google/gke/cpu,google,gke,cpu,64,bdas,svm,maximum,1.104000,0
36,google/gke/cpu,google,gke,cpu,64,bdas,svm,duration,17.184213638305664,0
37,google/gke/cpu,google,gke,cpu,64,bdas,svm,minimum,0.5070000,0
38,google/gke/cpu,google,gke,cpu,64,bdas,svm,mean,0.5288881,0
39,google/gke/cpu,google,gke,cpu,64,bdas,svm,maximum,0.5320000,0
40,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,duration,25.312862157821655,0
41,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,minimum,5.690000,0
42,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,mean,6.453262,0
43,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,maximum,6.506000,0
44,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,duration,20.502023696899414,0
45,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,minimum,2.249000,0
46,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,mean,2.601533,0
47,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,maximum,2.680000,0
48,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,duration,20.700941562652588,0
49,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,minimum,2.53900,0
50,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,mean,2.91951,0
51,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,maximum,3.00900,0
52,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,duration,21.287900924682617,0
53,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,minimum,2.473000,0
54,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,mean,2.886536,0
55,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,maximum,2.920000,0
56,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,duration,20.850607872009277,0
57,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,minimum,2.612000,0
58,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,mean,3.053761,0
59,google/gke/cpu,google,gke,cpu,64,bdas,kmeans,maximum,3.091000,0
60,google/gke/cpu,google,gke,cpu,16,bdas,princomp,duration,4.4727935791015625,0
61,google/gke/cpu,google,gke,cpu,16,bdas,princomp,minimum,0.0610000,0
62,google/gke/cpu,google,gke,cpu,16,bdas,princomp,mean,0.1407983,0
63,google/gke/cpu,google,gke,cpu,16,bdas,princomp,maximum,0.1460000,0
64,google/gke/cpu,google,gke,cpu,16,bdas,princomp,duration,5.089189291000366,0
65,google/gke/cpu,google,gke,cpu,16,bdas,princomp,minimum,0.2940000,0
66,google/gke/cpu,google,gke,cpu,16,bdas,princomp,mean,0.3987713,0
67,google/gke/cpu,google,gke,cpu,16,bdas,princomp,maximum,0.4510000,0
68,google/gke/cpu,google,gke,cpu,16,bdas,princomp,duration,4.376574516296387,0
69,google/gke/cpu,google,gke,cpu,16,bdas,princomp,minimum,0.05800000,0
70,google/gke/cpu,google,gke,cpu,16,bdas,princomp,mean,0.08441264,0
71,google/gke/cpu,google,gke,cpu,16,bdas,princomp,maximum,0.09400000,0
72,google/gke/cpu,google,gke,cpu,16,bdas,princomp,duration,4.427444696426392,0
73,google/gke/cpu,google,gke,cpu,16,bdas,princomp,minimum,0.0670000,0
74,google/gke/cpu,google,gke,cpu,16,bdas,princomp,mean,0.1162067,0
75,google/gke/cpu,google,gke,cpu,16,bdas,princomp,maximum,0.1260000,0
76,google/gke/cpu,google,gke,cpu,16,bdas,princomp,duration,4.410487174987793,0
77,google/gke/cpu,google,gke,cpu,16,bdas,princomp,minimum,0.05900000,0
78,google/gke/cpu,google,gke,cpu,16,bdas,princomp,mean,0.08967827,0
79,google/gke/cpu,google,gke,cpu,16,bdas,princomp,maximum,0.09400000,0
80,google/gke/cpu,google,gke,cpu,16,bdas,svm,duration,5.023489952087402,0
81,google/gke/cpu,google,gke,cpu,16,bdas,svm,minimum,0.3180000,0
82,google/gke/cpu,google,gke,cpu,16,bdas,svm,mean,0.3544567,0
83,google/gke/cpu,google,gke,cpu,16,bdas,svm,maximum,0.3570000,0
84,google/gke/cpu,google,gke,cpu,16,bdas,svm,duration,4.902034044265747,0
85,google/gke/cpu,google,gke,cpu,16,bdas,svm,minimum,0.2900000,0
86,google/gke/cpu,google,gke,cpu,16,bdas,svm,mean,0.3072834,0
87,google/gke/cpu,google,gke,cpu,16,bdas,svm,maximum,0.3100000,0
88,google/gke/cpu,google,gke,cpu,16,bdas,svm,duration,6.166093587875366,0
89,google/gke/cpu,google,gke,cpu,16,bdas,svm,minimum,1.349000,0
90,google/gke/cpu,google,gke,cpu,16,bdas,svm,mean,1.439801,0
91,google/gke/cpu,google,gke,cpu,16,bdas,svm,maximum,1.443000,0
92,google/gke/cpu,google,gke,cpu,16,bdas,svm,duration,5.396803140640259,0
93,google/gke/cpu,google,gke,cpu,16,bdas,svm,minimum,0.861000,0
94,google/gke/cpu,google,gke,cpu,16,bdas,svm,mean,0.888348,0
95,google/gke/cpu,google,gke,cpu,16,bdas,svm,maximum,0.891000,0
96,google/gke/cpu,google,gke,cpu,16,bdas,svm,duration,4.654665946960449,0
97,google/gke/cpu,google,gke,cpu,16,bdas,svm,minimum,0.2070000,0
98,google/gke/cpu,google,gke,cpu,16,bdas,svm,mean,0.2113601,0
99,google/gke/cpu,google,gke,cpu,16,bdas,svm,maximum,0.2140000,0
100,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,duration,4.91917610168457,0
101,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,minimum,0.2810000,0
102,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,mean,0.4235625,0
103,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,maximum,0.4300000,0
104,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,duration,5.241510629653931,0
105,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,minimum,0.4520000,0
106,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,mean,0.6317969,0
107,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,maximum,0.6590000,0
108,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,duration,4.946649074554443,0
109,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,minimum,0.4910000,0
110,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,mean,0.5534922,0
111,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,maximum,0.5710000,0
112,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,duration,5.76351261138916,0
113,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,minimum,0.996000,0
114,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,mean,1.152218,0
115,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,maximum,1.176000,0
116,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,duration,5.159022569656372,0
117,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,minimum,0.5300000,0
118,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,mean,0.6988864,0
119,google/gke/cpu,google,gke,cpu,16,bdas,kmeans,maximum,0.7130000,0
120,google/gke/cpu,google,gke,cpu,32,bdas,princomp,duration,9.067424297332764,0
121,google/gke/cpu,google,gke,cpu,32,bdas,princomp,minimum,0.2180000,0
122,google/gke/cpu,google,gke,cpu,32,bdas,princomp,mean,0.3841957,0
123,google/gke/cpu,google,gke,cpu,32,bdas,princomp,maximum,0.4260000,0
124,google/gke/cpu,google,gke,cpu,32,bdas,princomp,duration,8.052072525024414,0
125,google/gke/cpu,google,gke,cpu,32,bdas,princomp,minimum,0.0740000,0
126,google/gke/cpu,google,gke,cpu,32,bdas,princomp,mean,0.4378221,0
127,google/gke/cpu,google,gke,cpu,32,bdas,princomp,maximum,0.6360000,0
128,google/gke/cpu,google,gke,cpu,32,bdas,princomp,duration,7.8393776416778564,0
129,google/gke/cpu,google,gke,cpu,32,bdas,princomp,minimum,0.0750000,0
130,google/gke/cpu,google,gke,cpu,32,bdas,princomp,mean,0.2070511,0
131,google/gke/cpu,google,gke,cpu,32,bdas,princomp,maximum,0.2270000,0
132,google/gke/cpu,google,gke,cpu,32,bdas,princomp,duration,7.751631736755371,0
133,google/gke/cpu,google,gke,cpu,32,bdas,princomp,minimum,0.075000,0
134,google/gke/cpu,google,gke,cpu,32,bdas,princomp,mean,0.169581,0
135,google/gke/cpu,google,gke,cpu,32,bdas,princomp,maximum,0.179000,0
136,google/gke/cpu,google,gke,cpu,32,bdas,princomp,duration,7.786736488342285,0
137,google/gke/cpu,google,gke,cpu,32,bdas,princomp,minimum,0.0690000,0
