,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,3.596,0
1,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,83.4,0
2,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,wall-time,71.0,0
3,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,duration,74.54751515388489,0
4,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.5475151538848877,0
5,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,3.566,0
6,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,83.4,0
7,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,wall-time,72.0,0
8,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,duration,75.39020204544067,0
9,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.390202045440674,0
10,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,3.563,0
11,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,83.4,0
12,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,wall-time,72.0,0
13,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,duration,75.0008761882782,0
14,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.0008761882781982,0
15,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,matom_steps_per_second,3.499,0
16,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,cpu-usage,82.1,0
17,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,wall-time,73.0,0
18,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,duration,77.3451361656189,0
19,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,hookup-time,4.3451361656188965,0
20,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,matom_steps_per_second,3.558,0
21,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,cpu-usage,82.1,0
22,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,wall-time,73.0,0
23,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,duration,77.51061868667603,0
24,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Multiple,hookup-time,4.510618686676025,0
