,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,matom_steps_per_second,7.43,0
1,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,wall-time,39.0,0
2,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,duration,51.38871216773987,0
3,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,hookup-time,12.388712167739868,0
4,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,matom_steps_per_second,8.706,0
5,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,wall-time,29.0,0
6,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,duration,40.960952281951904,0
7,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,hookup-time,11.960952281951904,0
8,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,matom_steps_per_second,9.907,0
9,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,wall-time,26.0,0
10,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,duration,38.430317878723145,0
11,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,hookup-time,12.430317878723145,0
12,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,matom_steps_per_second,9.157,0
13,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,wall-time,28.0,0
14,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,duration,40.02681875228882,0
15,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,hookup-time,12.026818752288818,0
16,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,matom_steps_per_second,9.29,0
17,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,wall-time,27.0,0
18,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,duration,39.17082357406616,0
19,google/gke/cpu,google,gke,cpu,64,lammps,32x16x16,hookup-time,12.170823574066162,0
20,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,matom_steps_per_second,8.104,0
21,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,wall-time,31.0,0
22,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,duration,36.28930926322937,0
23,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,hookup-time,5.28930926322937,0
24,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,matom_steps_per_second,10.071,0
25,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,wall-time,25.0,0
26,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,duration,30.049747943878174,0
27,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,hookup-time,5.049747943878174,0
28,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,matom_steps_per_second,9.57,0
29,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,wall-time,27.0,0
30,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,duration,31.413334131240845,0
31,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,hookup-time,4.413334131240845,0
32,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,matom_steps_per_second,10.099,0
33,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,wall-time,26.0,0
34,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,duration,30.468449354171753,0
35,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,hookup-time,4.468449354171753,0
36,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,matom_steps_per_second,9.624,0
37,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,wall-time,26.0,0
38,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,duration,31.29224681854248,0
39,google/gke/cpu,google,gke,cpu,16,lammps,32x16x16,hookup-time,5.2922468185424805,0
40,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,matom_steps_per_second,6.945,0
41,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,wall-time,37.0,0
42,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,duration,74.80289959907532,0
43,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,hookup-time,37.80289959907532,0
44,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,matom_steps_per_second,6.848,0
45,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,wall-time,38.0,0
46,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,duration,74.8522117137909,0
47,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,hookup-time,36.852211713790894,0
48,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,matom_steps_per_second,6.444,0
49,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,wall-time,40.0,0
50,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,duration,77.43966555595398,0
51,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,hookup-time,37.43966555595398,0
52,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,matom_steps_per_second,7.497,0
53,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,wall-time,35.0,0
54,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,duration,73.59043002128601,0
55,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,hookup-time,38.59043002128601,0
56,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,matom_steps_per_second,6.872,0
57,google/gke/cpu,google,gke,cpu,128,lammps,32x16x16,wall-time,37.0,0
