,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,lulesh,duration,165.41436505317688,0
1,google/gke/cpu,google,gke,cpu,64,lulesh,zones_per_second,3188600.4,0
2,google/gke/cpu,google,gke,cpu,64,lulesh,duration,165.53543543815613,0
3,google/gke/cpu,google,gke,cpu,64,lulesh,zones_per_second,3183673.2,0
4,google/gke/cpu,google,gke,cpu,64,lulesh,duration,165.32372188568115,0
5,google/gke/cpu,google,gke,cpu,64,lulesh,zones_per_second,3183429.0,0
6,google/gke/cpu,google,gke,cpu,16,lulesh,duration,156.12142062187195,0
7,google/gke/cpu,google,gke,cpu,16,lulesh,zones_per_second,879228.64,0
8,google/gke/cpu,google,gke,cpu,16,lulesh,duration,156.25000047683716,0
9,google/gke/cpu,google,gke,cpu,16,lulesh,zones_per_second,877324.31,0
10,google/gke/cpu,google,gke,cpu,16,lulesh,duration,155.94683361053467,0
11,google/gke/cpu,google,gke,cpu,16,lulesh,zones_per_second,879880.38,0
12,google/gke/cpu,google,gke,cpu,16,lulesh,duration,155.78516244888306,0
13,google/gke/cpu,google,gke,cpu,16,lulesh,zones_per_second,879799.75,0
14,google/gke/cpu,google,gke,cpu,16,lulesh,duration,156.946626663208,0
15,google/gke/cpu,google,gke,cpu,16,lulesh,zones_per_second,873016.17,0
16,google/gke/cpu,google,gke,cpu,32,lulesh,duration,159.94296097755432,0
17,google/gke/cpu,google,gke,cpu,32,lulesh,zones_per_second,1790186.0,0
18,google/gke/cpu,google,gke,cpu,32,lulesh,duration,159.8847417831421,0
19,google/gke/cpu,google,gke,cpu,32,lulesh,zones_per_second,1789760.6,0
20,google/gke/cpu,google,gke,cpu,32,lulesh,duration,159.60469508171082,0
21,google/gke/cpu,google,gke,cpu,32,lulesh,zones_per_second,1792529.4,0
22,google/gke/cpu,google,gke,cpu,4,lulesh,duration,155.29653763771057,0
23,google/gke/cpu,google,gke,cpu,4,lulesh,zones_per_second,226258.73,0
24,google/gke/cpu,google,gke,cpu,4,lulesh,duration,155.4177746772766,0
25,google/gke/cpu,google,gke,cpu,4,lulesh,zones_per_second,226030.69,0
26,google/gke/cpu,google,gke,cpu,4,lulesh,duration,155.79368591308594,0
27,google/gke/cpu,google,gke,cpu,4,lulesh,zones_per_second,225475.69,0
28,google/gke/cpu,google,gke,cpu,4,lulesh,duration,155.5619239807129,0
29,google/gke/cpu,google,gke,cpu,4,lulesh,zones_per_second,225872.29,0
30,google/gke/cpu,google,gke,cpu,4,lulesh,duration,155.44360780715942,0
31,google/gke/cpu,google,gke,cpu,4,lulesh,zones_per_second,226077.58,0
32,google/gke/cpu,google,gke,cpu,8,lulesh,duration,154.53624486923218,0
33,google/gke/cpu,google,gke,cpu,8,lulesh,zones_per_second,338303.39,0
34,google/gke/cpu,google,gke,cpu,8,lulesh,duration,154.6098268032074,0
35,google/gke/cpu,google,gke,cpu,8,lulesh,zones_per_second,338124.27,0
36,google/gke/cpu,google,gke,cpu,8,lulesh,duration,154.8041741847992,0
37,google/gke/cpu,google,gke,cpu,8,lulesh,zones_per_second,337793.51,0
38,google/gke/cpu,google,gke,cpu,8,lulesh,duration,154.43722105026245,0
39,google/gke/cpu,google,gke,cpu,8,lulesh,zones_per_second,338493.69,0
40,google/gke/cpu,google,gke,cpu,8,lulesh,duration,154.45791697502136,0
41,google/gke/cpu,google,gke,cpu,8,lulesh,zones_per_second,338387.05,0
