,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,duration,12.775359153747559,0
1,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,163425,0
2,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,duration,13.096161127090454,0
3,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,228940,0
4,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,duration,13.462155818939209,0
5,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,283261,0
6,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,duration,12.69897198677063,0
7,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,217832,0
8,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,duration,12.603378534317017,0
9,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,298869,0
10,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,duration,5.292758226394653,0
11,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,total_cg_mflops,538123,0
12,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,duration,4.973216533660889,0
13,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,total_cg_mflops,441945,0
14,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,duration,5.0281782150268555,0
15,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,total_cg_mflops,314999,0
16,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,duration,5.0144970417022705,0
17,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,total_cg_mflops,458642,0
18,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,duration,5.094191312789917,0
19,google/gke/cpu,google,gke,cpu,16,minife,230nx-ny-nz,total_cg_mflops,454935,0
20,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,duration,51.87683057785034,0
21,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,12336.6,0
22,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,duration,51.85906219482422,0
23,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,12264.7,0
24,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,duration,52.54971408843994,0
