,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,16,remhos,duration,39.92438364028931,0
1,google/gke/cpu,google,gke,cpu,16,remhos,duration,40.68366193771362,0
2,google/gke/cpu,google,gke,cpu,16,remhos,duration,41.48651480674744,0
3,google/gke/cpu,google,gke,cpu,16,remhos,duration,40.81872320175171,0
4,google/gke/cpu,google,gke,cpu,16,remhos,duration,40.43321967124939,0
5,google/gke/cpu,google,gke,cpu,4,remhos,duration,32.81674242019653,0
6,google/gke/cpu,google,gke,cpu,4,remhos,duration,31.907440185546875,0
7,google/gke/cpu,google,gke,cpu,4,remhos,duration,32.351097106933594,0
8,google/gke/cpu,google,gke,cpu,4,remhos,duration,31.082149744033813,0
9,google/gke/cpu,google,gke,cpu,4,remhos,duration,31.84455966949463,0
10,google/gke/cpu,google,gke,cpu,8,remhos,duration,34.036887407302856,0
11,google/gke/cpu,google,gke,cpu,8,remhos,duration,32.166095495224,0
12,google/gke/cpu,google,gke,cpu,8,remhos,duration,32.16872549057007,0
13,google/gke/cpu,google,gke,cpu,8,remhos,duration,32.49078607559204,0
14,google/gke/cpu,google,gke,cpu,8,remhos,duration,32.43004250526428,0
